"","title","author","subject","abstract","date"
"119","fusing multiple algorithms for heterogeneous online learning","darshan gadginmath, shivanshu tripathi, fabio pasqualetti","machine learning","this study addresses the challenge of online learning in contexts where agents accumulate disparate data, face resource constraints, and use different local algorithms. this paper introduces the switched online learning algorithm (sola), designed to solve the heterogeneous online learning problem by amalgamating updates from diverse agents through a dynamic switching mechanism contingent upon their respective performance and available resources. we theoretically analyze the design of the selecting mechanism to ensure that the regret of sola is bounded. our findings show that the number of changes in selection needs to be bounded by a parameter dependent on the performance of the different local algorithms. additionally, two test cases are presented to emphasize the effectiveness of sola, first on an online linear regression problem and then on an online classification problem with the mnist dataset.",2023-12-09
"120","on the regret of online coded caching","anupam nayak, sheel shah, nikhil karamchandani","information theory","we consider the widely studied problem of coded caching under non-uniform requests where users independently request files according to some underlying popularity distribution in each slot. this work is a first step towards analyzing this framework through the lens of online learning. we consider the case where the underlying request distribution is apriori unknown and propose an online policy as well as study its regret with respect to an oracle which knows the underlying distribution and employs a well-known order-optimal placement and coded delivery strategy. we also bound the switching cost of this strategy and also discuss a lower bound on the regret of any online scheme in a restricted but natural class of policies.",2023-12-08
"121","inclusive online learning in australia: barriers and enablers","linda marsden, luke munn, liam magee, matthew ferrinda, justin st. pierre, amanda third","computers and society","while the pandemic highlighted the critical role technology plays in children's lives, not all australian children have reliable access to technology. this situation exacerbates educational disadvantage for children who are already amongst our nation's most vulnerable. in this research project, we carried out a pilot project with three schools in western australia, conducting a series of workshops and interviews with students, parents, school staff members, and teachers. drawing on rich empirical material, we identify key barriers and enablers for digitally inclusive online learning at the individual, interpersonal, organizational, and infrastructural levels. of particular importance is that technology is only part of this story - an array of social, environmental, and skills ""infrastructure"" is needed to facilitate inclusive online learning. building on this finding, we ran a digital inclusion studio to address this holistic set of issues with strongly positive feedback from participants. we conclude with a set of recommendations for stakeholders (parents, schools, government agencies) who wish to support more digitally inclusive learning.",2023-12-08
"122","learning thresholds with latent values and censored feedback","jiahao zhang, tao lin, weiqiang zheng, zhe feng, yifeng teng, xiaotie deng","machine learning","in this paper, we investigate a problem of actively learning threshold in latent space, where the unknown reward $g(\gamma, v)$ depends on the proposed threshold $\gamma$ and latent value $v$ and it can be $only$ achieved if the threshold is lower than or equal to the unknown latent value. this problem has broad applications in practical scenarios, e.g., reserve price optimization in online auctions, online task assignments in crowdsourcing, setting recruiting bars in hiring, etc. we first characterize the query complexity of learning a threshold with the expected reward at most $\epsilon$ smaller than the optimum and prove that the number of queries needed can be infinitely large even when $g(\gamma, v)$ is monotone with respect to both $\gamma$ and $v$. on the positive side, we provide a tight query complexity $\tilde{\theta}(1/\epsilon^3)$ when $g$ is monotone and the cdf of value distribution is lipschitz. moreover, we show a tight $\tilde{\theta}(1/\epsilon^3)$ query complexity can be achieved as long as $g$ satisfies one-sided lipschitzness, which provides a complete characterization for this problem. finally, we extend this model to an online learning setting and demonstrate a tight $\theta(t^{2/3})$ regret bound using continuous-arm bandit techniques and the aforementioned query complexity results.",2023-12-07
"123","efficient learning in polyhedral games via best response oracles","darshan chakrabarti, gabriele farina, christian kroer","computer science and game theory","we study online learning and equilibrium computation in games with polyhedral decision sets, a property shared by both normal-form games and extensive-form games (efgs), when the learning agent is restricted to using a best-response oracle. we show how to achieve constant regret in zero-sum games and $o(t^{1/4})$ regret in general-sum games while using only $o(\log t)$ best-response queries at a given iteration $t$, thus improving over the best prior result, which required $o(t)$ queries per iteration. moreover, our framework yields the first last-iterate convergence guarantees for self-play with best-response oracles in zero-sum games. this convergence occurs at a linear rate, though with a condition-number dependence. we go on to show a $o(1/\sqrt{t})$ best-iterate convergence rate without such a dependence. our results build on linear-rate convergence results for variants of the frank-wolfe (fw) algorithm for strongly convex and smooth minimization problems over polyhedral domains. these fw results depend on a condition number of the polytope, known as facial distance. in order to enable application to settings such as efgs, we show two broad new results: 1) the facial distance for polytopes in standard form is at least $\gamma/\sqrt{k}$ where $\gamma$ is the minimum value of a nonzero coordinate of a vertex of the polytope and $k\leq n$ is the number of tight inequality constraints in the optimal face, and 2) the facial distance for polytopes of the form $\mathbf{a}\boldsymbol{x}=\boldsymbol{b},\mathbf{c}\boldsymbol{x}\leq\boldsymbol{d}, \boldsymbol{x}\geq \mathbf{0}$ where $\boldsymbol{x}\in\mathbb{r}^n$, $\mathbf{c}\geq\boldsymbol{0}$ is a nonzero integral matrix, and $\boldsymbol{d}\geq \boldsymbol{0}$, is at least $1/(\|\mathbf{c}\|_\infty\sqrt{n})$. this yields the first such results for several problems such as sequence-form polytopes, flow polytopes, and matching polytopes.",2023-12-06
"124","peer attention enhances student learning","songlin xu, dongyin hu, ru wang, xinyu zhang","human-computer interaction","human visual attention is susceptible to social influences. in education, peer effects impact student learning, but their precise role in modulating attention remains unclear. our experiment (n=311) demonstrates that displaying peer visual attention regions when students watch online course videos enhances their focus and engagement. however, students retain adaptability in following peer attention cues. overall, guided peer attention improves learning experiences and outcomes. these findings elucidate how peer visual attention shapes students' gaze patterns, deepening understanding of peer influence on learning. they also offer insights into designing adaptive online learning interventions leveraging peer attention modelling to optimize student attentiveness and success.",2023-12-04
"125","robust streaming, sampling, and a perspective on online learning","evan dogariu, jiatong yu","machine learning","in this work we present an overview of statistical learning, followed by a survey of robust streaming techniques and challenges, culminating in several rigorous results proving the relationship that we motivate and hint at throughout the journey. furthermore, we unify often disjoint theorems in a shared framework and notation to clarify the deep connections that are discovered. we hope that by approaching these results from a shared perspective, already aware of the technical connections that exist, we can enlighten the study of both fields and perhaps motivate new and previously unconsidered directions of research.",2023-12-04
"126","learning from one continuous video stream","joão carreira, michael king, viorica pătrăucean, dilara gokay, cătălin ionescu, yi yang, daniel zoran, joseph heyward, carl doersch, yusuf aytar, dima damen, andrew zisserman","computer vision and pattern recognition","we introduce a framework for online learning from a single continuous video stream -- the way people and animals learn, without mini-batches, data augmentation or shuffling. this poses great challenges given the high correlation between consecutive video frames and there is very little prior work on it. our framework allows us to do a first deep dive into the topic and includes a collection of streams and tasks composed from two existing video datasets, plus methodology for performance evaluation that considers both adaptation and generalization. we employ pixel-to-pixel modelling as a practical and flexible way to switch between pre-training and single-stream evaluation as well as between arbitrary tasks, without ever requiring changes to models and always using the same pixel loss. equipped with this framework we obtained large single-stream learning gains from pre-training with a novel family of future prediction tasks, found that momentum hurts, and that the pace of weight updates matters. the combination of these insights leads to matching the performance of iid learning with batch size 1, when using the same architecture and without costly replay buffers.",2023-12-01
"127","adaptive parameter-free robust learning using latent bernoulli variables","aleksandr karakulev (1), dave zachariah (2), prashant singh (1 and 3) ((1) division of scientific computing, (2) division of systems and control, (3) science for life laboratory, department of information technology, uppsala university)","machine learning","we present an efficient parameter-free approach for statistical learning from corrupted training sets. we identify corrupted and non-corrupted samples using latent bernoulli variables, and therefore formulate the robust learning problem as maximization of the likelihood where latent variables are marginalized out. the resulting optimization problem is solved via variational inference using an efficient expectation-maximization based method. the proposed approach improves over the state-of-the-art by automatically inferring the corruption level and identifying outliers, while adding minimal computational overhead. we demonstrate our robust learning method on a wide variety of machine learning tasks including online learning and deep learning where it exhibits ability to adapt to different levels of noise and attain high prediction accuracy.",2023-12-01
"128","interior point constrained reinforcement learning with global convergence guarantees","tingting ni, maryam kamgarpour","machine learning","we consider discounted infinite horizon constrained markov decision processes (cmdps) where the goal is to find an optimal policy that maximizes the expected cumulative reward subject to expected cumulative constraints. motivated by the application of cmdps in online learning of safety-critical systems, we focus on developing an algorithm that ensures constraint satisfaction during learning. to this end, we develop a zeroth-order interior point approach based on the log barrier function of the cmdp. under the commonly assumed conditions of fisher non-degeneracy and bounded transfer error of the policy parameterization, we establish the theoretical properties of the algorithm. in particular, in contrast to existing cmdp approaches that ensure policy feasibility only upon convergence, our algorithm guarantees feasibility of the policies during the learning process and converges to the optimal policy with a sample complexity of $o(\varepsilon^{-6})$. in comparison to the state-of-the-art policy gradient-based algorithm, c-npg-pda, our algorithm requires an additional $o(\varepsilon^{-2})$ samples to ensure policy feasibility during learning with same fisher-non-degenerate parameterization.",2023-12-01
"129","reducr: robust data downsampling using class priority reweighting","william bankes, george hughes, ilija bogunovic, zi wang","machine learning","modern machine learning models are becoming increasingly expensive to train for real-world image and text classification tasks, where massive web-scale data is collected in a streaming fashion. to reduce the training cost, online batch selection techniques have been developed to choose the most informative datapoints. however, these techniques can suffer from poor worst-class generalization performance due to class imbalance and distributional shifts. this work introduces reducr, a robust and efficient data downsampling method that uses class priority reweighting. reducr reduces the training data while preserving worst-class generalization performance. reducr assigns priority weights to datapoints in a class-aware manner using an online learning algorithm. we demonstrate the data efficiency and robust performance of reducr on vision and text classification tasks. on web-scraped datasets with imbalanced class distributions, reducr significantly improves worst-class test accuracy (and average accuracy), surpassing state-of-the-art methods by around 15%.",2023-12-01
"130","streaming bayesian modeling for predicting fat-tailed customer lifetime value","alexey v. calabourdin, konstantin a. aksenov","machine learning","we develop an online learning mcmc approach applicable for hierarchical bayesian models and glms. we also develop a fat-tailed ltv model that generalizes over several kinds of fat and thin tails. we demonstrate both developments on commercial ltv data from a large mobile app.",2023-12-01
"131","low revenue in display ad auctions: algorithmic collusion vs. non-quasilinear preferences","martin bichler, alok gupta, laura mathews, matthias oberlechner","computer science and game theory","the transition of display ad exchanges from second-price to first-price auctions has raised questions about its impact on revenue. evaluating this shift empirically proves challenging. one key factor is the behavior of automated bidding agents, who are unlikely to use static game-theoretical equilibrium strategies instead of favoring dynamic realms that continuously adapt and learn independently through the process of exploration and exploitation. thus revenue equivalence between first- and second-price auctions might not hold. research on algorithmic collusion in display ad auctions found revenue differences between second-price and first-price auctions. first-price auctions can induce q-learning agents to tacitly collude below the nash equilibrium in repeated complete-information auctions with payoff-maximizing agents (i.e., agents maximizing value minus price). our analysis explores wide-spread online learning algorithms' convergence behavior in both complete and incomplete information models, but does not find a systematic deviance from equilibrium behavior. convergence for q-learning depends on hyperparameters and initializations, and algorithmic collusion vanishes when competing against other learning algorithms. apart from their learning behavior, the objectives reported in the literature extend payoff maximization, often focusing on return-on-investment or return-on-spend. we derive equilibrium bid functions for such utility models, revealing that revenue equivalence doesn't hold. in low-competition scenarios, the first-price auction often yields lower revenue than the second-price counterpart. these insights offer an alternative rationale for the potential revenue decrease in first-price auctions. understanding the intricate interplay of auction rules, learning algorithms, and utility models is crucial in maximizing revenue in the ever-evolving world of display ad exchanges.",2023-11-30
"132","non-uniform online learning: towards understanding induction","zhou lu","machine learning","can a physicist make only finite errors in the endless pursuit of the law of nature? this millennium-old question of inductive inference is a fundamental, yet mysterious problem in philosophy, lacking rigorous justifications. while classic online learning theory and inductive inference share a similar sequential decision-making spirit, the former's reliance on an adaptive adversary and worst-case error bounds limits its applicability to the latter. in this work, we introduce the concept of non-uniform online learning, which we argue aligns more closely with the principles of inductive reasoning. this setting assumes a predetermined ground-truth hypothesis and considers non-uniform, hypothesis-wise error bounds. in the realizable setting, we provide a complete characterization of learnability with finite error: a hypothesis class is non-uniform learnable if and only if it's a countable union of littlestone classes, no matter the observations are adaptively chosen or iid sampled. additionally, we propose a necessary condition for the weaker criterion of consistency which we conjecture to be tight. to further promote our theory, we extend our result to the more realistic agnostic setting, showing that any countable union of littlestone classes can be learnt with regret $\tilde{o}(\sqrt{t})$. we hope this work could offer a new perspective of interpreting the power of induction from an online learning viewpoint.",2023-11-30
"133","online influence maximization: concept and algorithm","jianxiong guo","social and information networks","in this survey, we offer an extensive overview of the online influence maximization (im) problem by covering both theoretical aspects and practical applications. for the integrity of the article and because the online algorithm takes an offline oracle as a subroutine, we first make a clear definition of the offline im problem and summarize those commonly used offline im algorithms, which include traditional approximation or heuristic algorithms and ml-based algorithms. then, we give a standard definition of the online im problem and a basic combinatorial multi-armed bandit (cmab) framework, cmab-t. here, we summarize three types of feedback in the cmab model and discuss in detail how to study the online im problem based on the cmab-t model. this paves the way for solving the online im problem by using online learning methods. furthermore, we have covered almost all online im algorithms up to now, focusing on characteristics and theoretical guarantees of online algorithms for different feedback types. here, we elaborately explain their working principle and how to obtain regret bounds. besides, we also collect plenty of innovative ideas about problem definition and algorithm designs and pioneering works for variants of the online im problem and their corresponding algorithms. finally, we encapsulate current challenges and outline prospective research directions from four distinct perspectives.",2023-11-30
"134","efficient model-based concave utility reinforcement learning through greedy mirror descent","bianca marin moreno (thoth), margaux brégère (edf r&d, lpsm, su), pierre gaillard (thoth), nadia oudjane (edf r&d)","optimization and control","many machine learning tasks can be solved by minimizing a convex function of an occupancy measure over the policies that generate them. these include reinforcement learning, imitation learning, among others. this more general paradigm is called the concave utility reinforcement learning problem (curl). since curl invalidates classical bellman equations, it requires new algorithms. we introduce md-curl, a new algorithm for curl in a finite horizon markov decision process. md-curl is inspired by mirror descent and uses a non-standard regularization to achieve convergence guarantees and a simple closed-form solution, eliminating the need for computationally expensive projection steps typically found in mirror descent approaches. we then extend curl to an online learning scenario and present greedy md-curl, a new method adapting md-curl to an online, episode-based setting with partially unknown dynamics. like md-curl, the online version greedy md-curl benefits from low computational complexity, while guaranteeing sub-linear or even logarithmic regret, depending on the level of information available on the underlying dynamics.",2023-11-30
"135","an online optimization-based decision support tool for small farmers in india: learning in non-stationary environments","tuxun lu, aviva prins","machine learning","crop management decision support systems are specialized tools for farmers that reduce the riskiness of revenue streams, especially valuable for use under the current climate changes that impact agricultural productivity. unfortunately, small farmers in india, who could greatly benefit from these tools, do not have access to them. in this paper, we model an individual greenhouse as a markov decision process (mdp) and adapt li and li (2019)'s follow the weighted leader (fwl) online learning algorithm to offer crop planning advice. we successfully produce utility-preserving cropping pattern suggestions in simulations. when we compare against an offline planning algorithm, we achieve the same cumulative revenue with greatly reduced runtime.",2023-11-28
"136","estimating post-synaptic effects for online training of feed-forward snns","thomas summe, clemens js schaefer, siddharth joshi","neural and evolutionary computing","facilitating online learning in spiking neural networks (snns) is a key step in developing event-based models that can adapt to changing environments and learn from continuous data streams in real-time. although forward-mode differentiation enables online learning, its computational requirements restrict scalability. this is typically addressed through approximations that limit learning in deep models. in this study, we propose online training with postsynaptic estimates (otpe) for training feed-forward snns, which approximates real-time recurrent learning (rtrl) by incorporating temporal dynamics not captured by current approximations, such as online training through time (ottt) and online spatio-temporal learning (ostl). we show improved scaling for multi-layer networks using a novel approximation of temporal effects on the subsequent layer's activity. this approximation incurs minimal overhead in the time and space complexity compared to similar algorithms, and the calculation of temporal effects remains local to each layer. we characterize the learning performance of our proposed algorithms on multiple snn model configurations for rate-based and time-based encoding. otpe exhibits the highest directional alignment to exact gradients, calculated with backpropagation through time (bptt), in deep networks and, on time-based encoding, outperforms other approximate methods. we also observe sizeable gains in average performance over similar algorithms in offline training of spiking heidelberg digits with equivalent hyper-parameters (ottt/ostl - 70.5%; otpe - 75.2%; bptt - 78.1%).",2023-11-07
"137","real-time online stock forecasting utilizing integrated quantitative and qualitative analysis","sai akash bathini, dagli cihan","computation and language","the application of machine learning to finance has become a familiar approach, even more so in stock market forecasting. the stock market is highly volatile, and huge amounts of data are generated every minute globally. the extraction of effective intelligence from this data is of critical importance. however, a collaboration of numerical stock data with qualitative text data can be a challenging task. in this work, we accomplish this by providing an unprecedented, publicly available dataset with technical and fundamental data and sentiment that we gathered from news archives, tv news captions, radio transcripts, tweets, daily financial newspapers, etc. the text data entries used for sentiment extraction total more than 1.4 million. the dataset consists of daily entries from january 2018 to december 2022 for eight companies representing diverse industrial sectors and the dow jones industrial average (djia) as a whole. holistic fundamental and technical data is provided training ready for model learning and deployment. most importantly, the data generated could be used for incremental online learning with real-time data points retrieved daily since no stagnant data was utilized. all the data was retired from apis or self-designed robust information retrieval technologies with extremely low latency and zero monetary cost. these adaptable technologies facilitate data extraction for any stock. moreover, the utilization of spearman's rank correlation over real-time data, linking stock returns with sentiment analysis has produced noteworthy results for the djia and the eight other stocks, achieving accuracy levels surpassing 60%. the dataset is made available at this https url.",2023-11-26
"138","on the complexity of computing sparse equilibria and lower bounds for no-regret learning in games","ioannis anagnostides, alkis kalavasis, tuomas sandholm, manolis zampetakis","computer science and game theory","characterizing the performance of no-regret dynamics in multi-player games is a foundational problem at the interface of online learning and game theory. recent results have revealed that when all players adopt specific learning algorithms, it is possible to improve exponentially over what is predicted by the overly pessimistic no-regret framework in the traditional adversarial regime, thereby leading to faster convergence to the set of coarse correlated equilibria (cce). yet, despite considerable recent progress, the fundamental complexity barriers for learning in normal- and extensive-form games are poorly understood. in this paper, we make a step towards closing this gap by first showing that -- barring major complexity breakthroughs -- any polynomial-time learning algorithms in extensive-form games need at least $2^{\log^{1/2 - o(1)} |\mathcal{t}|}$ iterations for the average regret to reach below even an absolute constant, where $|\mathcal{t}|$ is the number of nodes in the game. this establishes a superpolynomial separation between no-regret learning in normal- and extensive-form games, as in the former class a logarithmic number of iterations suffices to achieve constant average regret. furthermore, our results imply that algorithms such as multiplicative weights update, as well as its \emph{optimistic} counterpart, require at least $2^{(\log \log m)^{1/2 - o(1)}}$ iterations to attain an $o(1)$-cce in $m$-action normal-form games. these are the first non-trivial -- and dimension-dependent -- lower bounds in that setting for the most well-studied algorithms in the literature. from a technical standpoint, we follow a beautiful connection recently made by foster, golowich, and kakade (icml '23) between sparse cce and nash equilibria in the context of markov games. consequently, our lower bounds rule out polynomial-time algorithms well beyond the traditional online learning framework.",2023-11-24
"139","knowledge tracing challenge: optimal activity sequencing for students","yann hicke","computers and society","knowledge tracing is a method used in education to assess and track the acquisition of knowledge by individual learners. it involves using a variety of techniques, such as quizzes, tests, and other forms of assessment, to determine what a learner knows and does not know about a particular subject. the goal of knowledge tracing is to identify gaps in understanding and provide targeted instruction to help learners improve their understanding and retention of material. this can be particularly useful in situations where learners are working at their own pace, such as in online learning environments. by providing regular feedback and adjusting instruction based on individual needs, knowledge tracing can help learners make more efficient progress and achieve better outcomes. effectively solving the kt problem would unlock the potential of computer-aided education applications such as intelligent tutoring systems, curriculum learning, and learning materials recommendations. in this paper, we will present the results of the implementation of two knowledge tracing algorithms on a newly released dataset as part of the aaai2023 global knowledge tracing challenge.",2023-11-13
"140","composite adaptive lyapunov-based deep neural network (lb-dnn) controller","omkar sudhir patil, emily j. griffis, wanjiku a. makumi, warren e. dixon","systems and control","recent advancements in adaptive control have equipped deep neural network (dnn)-based controllers with lyapunov-based adaptation laws that work across a range of dnn architectures to uniquely enable online learning. however, the adaptation laws are based on tracking error, and offer convergence guarantees on only the tracking error without providing conclusions on the parameter estimation performance. motivated to provide guarantees on the dnn parameter estimation performance, this paper provides the first result on composite adaptation for adaptive lyapunov-based dnn controllers, which uses the jacobian of the dnn and a prediction error of the dynamics that is computed using a novel method involving an observer of the dynamics. a lyapunov-based stability analysis is performed which guarantees the tracking, observer, and parameter estimation errors are uniformly ultimately bounded (uub), with stronger performance guarantees when the dnn's jacobian satisfies the persistence of excitation (pe) condition. comparative simulation results demonstrate a significant performance improvement with the developed composite adaptive lb-dnn controller in comparison to the tracking error-based lb-dnn.",2023-11-21
"141","digital twin framework for optimal and autonomous decision-making in cyber-physical systems: enhancing reliability and adaptability in the oil and gas industry","carine menezes rebello, johannes jäschkea, idelfonso b. r. nogueira","artificial intelligence","the concept of creating a virtual copy of a complete cyber-physical system opens up numerous possibilities, including real-time assessments of the physical environment and continuous learning from the system to provide reliable and precise information. this process, known as the twinning process or the development of a digital twin (dt), has been widely adopted across various industries. however, challenges arise when considering the computational demands of implementing ai models, such as those employed in digital twins, in real-time information exchange scenarios. this work proposes a digital twin framework for optimal and autonomous decision-making applied to a gas-lift process in the oil and gas industry, focusing on enhancing the robustness and adaptability of the dt. the framework combines bayesian inference, monte carlo simulations, transfer learning, online learning, and novel strategies to confer cognition to the dt, including model hyperdimensional reduction and cognitive tack. consequently, creating a framework for efficient, reliable, and trustworthy dt identification was possible. the proposed approach addresses the current gap in the literature regarding integrating various learning techniques and uncertainty management in digital twin strategies. this digital twin framework aims to provide a reliable and efficient system capable of adapting to changing environments and incorporating prediction uncertainty, thus enhancing the overall decision-making process in complex, real-world scenarios. additionally, this work lays the foundation for further developments in digital twins for process systems engineering, potentially fostering new advancements and applications across various industrial sectors.",2023-11-21
"142","online calibration of deep learning sub-models for hybrid numerical modeling systems","said ouala, bertrand chapron, fabrice collard, lucile gaultier, ronan fablet","machine learning","artificial intelligence and deep learning are currently reshaping numerical simulation frameworks by introducing new modeling capabilities. these frameworks are extensively investigated in the context of model correction and parameterization where they demonstrate great potential and often outperform traditional physical models. most of these efforts in defining hybrid dynamical systems follow {offline} learning strategies in which the neural parameterization (called here sub-model) is trained to output an ideal correction. yet, these hybrid models can face hard limitations when defining what should be a relevant sub-model response that would translate into a good forecasting performance. end-to-end learning schemes, also referred to as online learning, could address such a shortcoming by allowing the deep learning sub-models to train on historical data. however, defining end-to-end training schemes for the calibration of neural sub-models in hybrid systems requires working with an optimization problem that involves the solver of the physical equations. online learning methodologies thus require the numerical model to be differentiable, which is not the case for most modeling systems. to overcome this difficulty and bypass the differentiability challenge of physical models, we present an efficient and practical online learning approach for hybrid systems. the method, called ega for euler gradient approximation, assumes an additive neural correction to the physical model, and an explicit euler approximation of the gradients. we demonstrate that the ega converges to the exact gradients in the limit of infinitely small time steps. numerical experiments are performed on various case studies, including prototypical ocean-atmosphere dynamics. results show significant improvements over offline learning, highlighting the potential of end-to-end online learning for hybrid modeling.",2023-11-17
"143","enhancing student engagement in online learning through facial expression analysis and complex emotion recognition using deep learning","rekha r nair, tina babu, pavithra k","computer vision and pattern recognition","in response to the covid-19 pandemic, traditional physical classrooms have transitioned to online environments, necessitating effective strategies to ensure sustained student engagement. a significant challenge in online teaching is the absence of real-time feedback from teachers on students learning progress. this paper introduces a novel approach employing deep learning techniques based on facial expressions to assess students engagement levels during online learning sessions. human emotions cannot be adequately conveyed by a student using only the basic emotions, including anger, disgust, fear, joy, sadness, surprise, and neutrality. to address this challenge, proposed a generation of four complex emotions such as confusion, satisfaction, disappointment, and frustration by combining the basic emotions. these complex emotions are often experienced simultaneously by students during the learning session. to depict these emotions dynamically,utilized a continuous stream of image frames instead of discrete images. the proposed work utilized a convolutional neural network (cnn) model to categorize the fundamental emotional states of learners accurately. the proposed cnn model demonstrates strong performance, achieving a 95% accuracy in precise categorization of learner emotions.",2023-11-17
"144","a trichotomy for transductive online learning","steve hanneke, shay moran, jonathan shafer","machine learning","we present new upper and lower bounds on the number of learner mistakes in the `transductive' online learning setting of ben-david, kushilevitz and mansour (1997). this setting is similar to standard online learning, except that the adversary fixes a sequence of instances $x_1,\dots,x_n$ to be labeled at the start of the game, and this sequence is known to the learner. qualitatively, we prove a trichotomy, stating that the minimal number of mistakes made by the learner as $n$ grows can take only one of precisely three possible values: $n$, $\theta\left(\log (n)\right)$, or $\theta(1)$. furthermore, this behavior is determined by a combination of the vc dimension and the littlestone dimension. quantitatively, we show a variety of bounds relating the number of mistakes to well-known combinatorial dimensions. in particular, we improve the known lower bound on the constant in the $\theta(1)$ case from $\omega\left(\sqrt{\log(d)}\right)$ to $\omega(\log(d))$ where $d$ is the littlestone dimension. finally, we extend our results to cover multiclass classification and the agnostic setting.",2023-11-10
"145","a comprehensive analysis of concept drift locality in data streams","gabriel j. aguiar, alberto cano","machine learning","adapting to drifting data streams is a significant challenge in online learning. concept drift must be detected for effective model adaptation to evolving data properties. concept drift can impact the data distribution entirely or partially, which makes it difficult for drift detectors to accurately identify the concept drift. despite the numerous concept drift detectors in the literature, standardized procedures and benchmarks for comprehensive evaluation considering the locality of the drift are lacking. we present a novel categorization of concept drift based on its locality and scale. a systematic approach leads to a set of 2,760 benchmark problems, reflecting various difficulty levels following our proposed categorization. we conduct a comparative assessment of 9 state-of-the-art drift detectors across diverse difficulties, highlighting their strengths and weaknesses for future research. we examine how drift locality influences the classifier performance and propose strategies for different drift categories to minimize the recovery time. lastly, we provide lessons learned and recommendations for future concept drift research. our benchmark data streams and experiments are publicly available at this https url.",2023-11-10
"146","an experimental design for anytime-valid causal inference on multi-armed bandits","biyonka liang, iavor bojinov","methodology","typically, multi-armed bandit (mab) experiments are analyzed at the end of the study and thus require the analyst to specify a fixed sample size in advance. however, in many online learning applications, it is advantageous to continuously produce inference on the average treatment effect (ate) between arms as new data arrive and determine a data-driven stopping time for the experiment. existing work on continuous inference for adaptive experiments assumes that the treatment assignment probabilities are bounded away from zero and one, thus excluding nearly all standard bandit algorithms. in this work, we develop the mixture adaptive design (mad), a new experimental design for multi-armed bandits that enables continuous inference on the ate with guarantees on statistical validity and power for nearly any bandit algorithm. on a high level, the mad ""mixes"" a bandit algorithm of the user's choice with a bernoulli design through a tuning parameter $\delta_t$, where $\delta_t$ is a deterministic sequence that controls the priority placed on the bernoulli design as the sample size grows. we show that for $\delta_t = o\left(1/t^{1/4}\right)$, the mad produces a confidence sequence that is asymptotically valid and guaranteed to shrink around the true ate. we empirically show that the mad improves the coverage and power of ate inference in mab experiments without significant losses in finite-sample reward.",2023-11-09
"147","when meta-learning meets online and continual learning: a survey","jaehyeon son, soochan lee, gunhee kim","machine learning","over the past decade, deep neural networks have demonstrated significant success using the training scheme that involves mini-batch stochastic gradient descent on extensive datasets. expanding upon this accomplishment, there has been a surge in research exploring the application of neural networks in other learning scenarios. one notable framework that has garnered significant attention is meta-learning. often described as ""learning to learn,"" meta-learning is a data-driven approach to optimize the learning algorithm. other branches of interest are continual learning and online learning, both of which involve incrementally updating a model with streaming data. while these frameworks were initially developed independently, recent works have started investigating their combinations, proposing novel problem settings and learning algorithms. however, due to the elevated complexity and lack of unified terminology, discerning differences between the learning frameworks can be challenging even for experienced researchers. to facilitate a clear understanding, this paper provides a comprehensive survey that organizes various problem settings using consistent terminology and formal descriptions. by offering an overview of these learning paradigms, our work aims to foster further advancements in this promising area of research.",2023-11-09
"148","real-time recurrent reinforcement learning","julian lemmel, radu grosu","machine learning","recent advances in reinforcement learning, for partially-observable markov decision processes (pomdps), rely on the biologically implausible backpropagation through time algorithm (bptt) to perform gradient-descent optimisation. in this paper we propose a novel reinforcement learning algorithm that makes use of random feedback local online learning (rflo), a biologically plausible approximation of realtime recurrent learning (rtrl) to compute the gradients of the parameters of a recurrent neural network in an online manner. by combining it with td($\lambda$), a variant of temporaldifference reinforcement learning with eligibility traces, we create a biologically plausible, recurrent actor-critic algorithm, capable of solving discrete and continuous control tasks in pomdps. we compare bptt, rtrl and rflo as well as different network architectures, and find that rflo can perform just as well as rtrl while exceeding even bptt in terms of complexity. the proposed method, called real-time recurrent reinforcement learning (rtrrl), serves as a model of learning in biological neural networks mimicking reward pathways in the mammalian brain.",2023-11-08
